class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
15;robin;50;;1.0;1.0;1.0;1.0;50;0;0
291;lion;50;;1.0;1.0;1.0;1.0;50;0;0
279;Arctic_fox;50;;1.0;1.0;1.0;1.0;50;0;0
70;harvestman;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;1.0;1.0;1.0;1.0;50;0;0
251;dalmatian;50;;1.0;1.0;1.0;1.0;50;0;0
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
476;carousel;50;;1.0;1.0;1.0;1.0;50;0;0
800;slot;50;;1.0;1.0;1.0;1.0;50;0;0
934;hotdog;50;;1.0;1.0;1.0;1.0;50;0;0
533;dishrag;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
12;house_finch;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
306;rhinoceros_beetle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
107;jellyfish;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
927;trifle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
471;cannon;50;;0.98;0.98;0.98;0.98;49;1;1
299;meerkat;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
99;goose;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
51;triceratops;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
781;scoreboard;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
713;photocopier;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
270;white_wolf;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
228;komondor;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
245;French_bulldog;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
149;dugong;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
807;solar_dish;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
392;rock_beauty;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
779;school_bus;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
507;combination_lock;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
96;toucan;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
687;organ;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
121;king_crab;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
207;golden_retriever;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
605;iPod;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
64;green_mamba;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
553;file;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
244;Tibetan_mastiff;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
758;reel;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
